,request_type,starting_time,ending_time,duration,data_size,mtu_size,conn_interval,data,read_requests,read_responses,notifies
374,WRITE_COMMAND Rcvd,2021-06-07 13:15:25.238191,2021-06-07 13:15:25.245515,7324,256,32,64,Data Size 256nopqrstuvwxyzabcData Size 256nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghighijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijkljklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnomnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrpqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstustuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvyzabcdefghijklmnopqrstuv,0,0,18
375,WRITE_COMMAND Req,2021-06-07 15:05:44.756868,2021-06-07 15:05:44.756868,0,512,32,64,,0,0,0
376,WRITE_COMMAND Req,2021-06-07 15:05:44.756868,2021-06-07 15:05:44.904653,147785,512,32,64,,0,0,0
377,WRITE_COMMAND Rcvd,2021-06-07 15:05:44.904653,2021-06-07 15:05:45.065067,160414,512,32,64,Data Size 512nopqrstuvwxyzabcData Size 512nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghighijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijkljklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnomnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrpqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstustuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzayzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdbcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefgefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijhijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrsqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvtuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxywxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrzabcdefghijklmnopqr,0,0,36
378,WRITE_COMMAND Req,2021-06-07 15:05:46.053447,2021-06-07 15:05:46.053447,0,512,32,64,,0,0,0
379,WRITE_COMMAND Req,2021-06-07 15:05:46.053447,2021-06-07 15:05:46.184300,130853,512,32,64,,0,0,0
380,WRITE_COMMAND Rcvd,2021-06-07 15:05:46.184300,2021-06-07 15:05:46.345434,161134,512,32,64,Data Size 512nopqrstuvwxyzabcData Size 512nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghighijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijkljklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnomnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrpqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstustuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzayzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdbcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefgefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijhijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrsqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvtuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxywxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrzabcdefghijklmnopqr,0,0,36
381,WRITE_COMMAND Req,2021-06-07 15:05:46.977241,2021-06-07 15:05:46.977241,0,512,32,64,,0,0,0
382,WRITE_COMMAND Req,2021-06-07 15:05:46.977241,2021-06-07 15:05:47.064497,87256,512,32,64,,0,0,0
383,WRITE_COMMAND Rcvd,2021-06-07 15:05:47.064497,2021-06-07 15:05:47.305010,240513,512,32,64,Data Size 512nopqrstuvwxyzabcData Size 512nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghighijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijkljklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnomnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrpqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstustuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzayzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdbcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefgefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijhijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrsqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvtuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxywxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrzabcdefghijklmnopqr,0,0,36
