"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"512","52.291755","Espressi_60:ef:3a (ESP32-T)","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","ATT","32","510","","Read Response","446174612053697a652032336d6e6f70717273747576","0x002a","Rcvd Read Response, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:48,243780","fbdc45f28337467b8019e7db05355215"
"513","52.292270","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","Espressi_60:ef:3a (ESP32-T)","ATT","14","","","Read Blob Request","","0x002a","Sent Read Blob Request, Handle: 0x002a (Unknown: Unknown), Offset: 22","2021-06-12 10:33:48,244295","fbdc45f28337467b8019e7db05355215"
"514","52.509789","controller","host","HCI_EVT","8","","","","","","Rcvd Number of Completed Packets","2021-06-12 10:33:48,461814",""
"515","52.610880","Espressi_60:ef:3a (ESP32-T)","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","ATT","11","513","","Read Blob Response","77","0x002a","Rcvd Read Blob Response, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:48,562905","fbdc45f28337467b8019e7db05355215"
"516","57.820955","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","Espressi_60:ef:3a (ESP32-T)","ATT","16","","","Write Request","2b000000","0x002e","Sent Write Request, Handle: 0x002e (Unknown: Unknown)","2021-06-12 10:33:53,772980","f341082200c04dd3a60b3cd6124fd323"
"517","58.050387","Espressi_60:ef:3a (ESP32-T)","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","ATT","10","516","","Write Response","","0x002e","Rcvd Write Response, Handle: 0x002e (Unknown: Unknown)","2021-06-12 10:33:54,002412","f341082200c04dd3a60b3cd6124fd323"
"518","58.135177","controller","host","HCI_EVT","8","","","","","","Rcvd Number of Completed Packets","2021-06-12 10:33:54,087202",""
"519","59.256578","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","Espressi_60:ef:3a (ESP32-T)","ATT","12","","","Read Request","","0x002a","Sent Read Request, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:55,208603","fbdc45f28337467b8019e7db05355215"
"520","59.411502","Espressi_60:ef:3a (ESP32-T)","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","ATT","32","519","","Read Response","446174612053697a652034336d6e6f70717273747576","0x002a","Rcvd Read Response, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:55,363527","fbdc45f28337467b8019e7db05355215"
"521","59.411975","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","Espressi_60:ef:3a (ESP32-T)","ATT","14","","","Read Blob Request","","0x002a","Sent Read Blob Request, Handle: 0x002a (Unknown: Unknown), Offset: 22","2021-06-12 10:33:55,364000","fbdc45f28337467b8019e7db05355215"
"522","59.489184","controller","host","HCI_EVT","8","","","","","","Rcvd Number of Completed Packets","2021-06-12 10:33:55,441209",""
"523","59.571871","Espressi_60:ef:3a (ESP32-T)","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","ATT","31","521","","Read Blob Response","7778797a6162636465666768696a6b6c6d6e6f7071","0x002a","Rcvd Read Blob Response, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:55,523896","fbdc45f28337467b8019e7db05355215"
"524","60.277346","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","Espressi_60:ef:3a (ESP32-T)","ATT","12","","","Read Request","","0x002a","Sent Read Request, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:56,229371","fbdc45f28337467b8019e7db05355215"
"525","60.371517","Espressi_60:ef:3a (ESP32-T)","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","ATT","32","524","","Read Response","446174612053697a652034336d6e6f70717273747576","0x002a","Rcvd Read Response, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:56,323542","fbdc45f28337467b8019e7db05355215"
"526","60.372034","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","Espressi_60:ef:3a (ESP32-T)","ATT","14","","","Read Blob Request","","0x002a","Sent Read Blob Request, Handle: 0x002a (Unknown: Unknown), Offset: 22","2021-06-12 10:33:56,324059","fbdc45f28337467b8019e7db05355215"
"527","60.448749","controller","host","HCI_EVT","8","","","","","","Rcvd Number of Completed Packets","2021-06-12 10:33:56,400774",""
"528","60.611653","Espressi_60:ef:3a (ESP32-T)","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","ATT","31","526","","Read Blob Response","7778797a6162636465666768696a6b6c6d6e6f7071","0x002a","Rcvd Read Blob Response, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:56,563678","fbdc45f28337467b8019e7db05355215"
"529","61.296612","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","Espressi_60:ef:3a (ESP32-T)","ATT","12","","","Read Request","","0x002a","Sent Read Request, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:57,248637","fbdc45f28337467b8019e7db05355215"
"530","61.411472","Espressi_60:ef:3a (ESP32-T)","HuaweiTe_27:59:79 (HUAWEI P20 Pro)","ATT","32","529","","Read Response","446174612053697a652034336d6e6f70717273747576","0x002a","Rcvd Read Response, Handle: 0x002a (Unknown: Unknown)","2021-06-12 10:33:57,363497","fbdc45f28337467b8019e7db05355215"
