"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"43","0.083437","host","controller","HCI_CMD","4","","","","","","Sent Read Local Supported Codecs","2021-06-08 15:45:31,927617",""
"44","0.084509","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (Read Local Supported Codecs)","2021-06-08 15:45:31,928689",""
"45","0.085792","host","controller","HCI_CMD","4","","","","","","Sent LE Clear Resolving List","2021-06-08 15:45:31,929972",""
"46","0.087696","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Clear Resolving List)","2021-06-08 15:45:31,931876",""
"47","0.087958","host","controller","HCI_CMD","6","","","","","","Sent LE Set Resolvable Private Address Timeout","2021-06-08 15:45:31,932138",""
"48","0.089559","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Resolvable Private Address Timeout)","2021-06-08 15:45:31,933739",""
"49","0.089813","host","controller","HCI_CMD","5","","","","","","Sent Write Inquiry Mode","2021-06-08 15:45:31,933993",""
"50","0.091429","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Inquiry Mode)","2021-06-08 15:45:31,935609",""
"51","0.091718","host","controller","HCI_CMD","5","","","","","","Sent Write Page Scan Type","2021-06-08 15:45:31,935898",""
"52","0.092558","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Page Scan Type)","2021-06-08 15:45:31,936738",""
"53","0.092757","host","controller","HCI_CMD","5","","","","","","Sent Write Inquiry Scan Type","2021-06-08 15:45:31,936937",""
"54","0.093890","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Inquiry Scan Type)","2021-06-08 15:45:31,938070",""
"55","0.093944","host","controller","HCI_CMD","7","","","","","","Sent Write Class of Device","2021-06-08 15:45:31,938124",""
"56","0.094790","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Class of Device)","2021-06-08 15:45:31,938970",""
"57","0.094839","host","controller","HCI_CMD","6","","","","","","Sent Write Page Timeout","2021-06-08 15:45:31,939019",""
"58","0.095733","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Page Timeout)","2021-06-08 15:45:31,939913",""
"59","0.095782","host","controller","HCI_CMD","6","","","","","","Sent Write Default Link Policy Settings","2021-06-08 15:45:31,939962",""
"60","0.096686","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Default Link Policy Settings)","2021-06-08 15:45:31,940866",""
"61","0.096738","host","controller","HCI_CMD_BROADCOM","4","","","","","","Sent Broadcom LE Get Vendor Capabilities","2021-06-08 15:45:31,940918",""
"62","0.097643","controller","host","HCI_EVT_BROADCOM","21","","","","","","Rcvd Broadcom Command Complete (LE Get Vendor Capabilities)","2021-06-08 15:45:31,941823",""
"63","0.097705","host","controller","HCI_CMD","4","","","","","","Sent Read Local Name","2021-06-08 15:45:31,941885",""
"64","0.099793","controller","host","HCI_EVT","255","","","","","","Rcvd Command Complete (Read Local Name)","2021-06-08 15:45:31,943973",""
"65","0.103350","host","controller","HCI_CMD","252","","","","","","Sent Change Local Name","2021-06-08 15:45:31,947530",""
"66","0.106044","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Change Local Name)","2021-06-08 15:45:31,950224",""
"67","0.106313","host","controller","HCI_CMD","245","","","","","","Sent Write Extended Inquiry Response","2021-06-08 15:45:31,950493",""
"68","0.108433","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Extended Inquiry Response)","2021-06-08 15:45:31,952613",""
"69","0.108725","host","controller","HCI_CMD","4","","","","","","Sent LE Rand","2021-06-08 15:45:31,952905",""
"70","0.110207","controller","host","HCI_EVT","15","","","","","","Rcvd Command Complete (LE Rand)","2021-06-08 15:45:31,954387",""
"71","0.110377","host","controller","HCI_CMD","43","","","","","","Sent LE Add Device to Resolving List","2021-06-08 15:45:31,954557",""
"72","0.112506","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Add Device to Resolving List)","2021-06-08 15:45:31,956686",""
"73","0.112761","host","controller","HCI_CMD","5","","","","","","Sent LE Set Address Resolution Enable","2021-06-08 15:45:31,956941",""
"74","0.113974","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Address Resolution Enable)","2021-06-08 15:45:31,958154",""
"75","0.114334","host","controller","HCI_CMD","10","","","","","","Sent LE Set Random Address","2021-06-08 15:45:31,958514",""
"76","0.115561","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Random Address)","2021-06-08 15:45:31,959741",""
"77","0.115740","host","controller","HCI_CMD","5","","","","","","Sent LE Set Address Resolution Enable","2021-06-08 15:45:31,959920",""
"78","0.116861","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Address Resolution Enable)","2021-06-08 15:45:31,961041",""
"79","0.116973","host","controller","HCI_CMD","43","","","","","","Sent LE Add Device to Resolving List","2021-06-08 15:45:31,961153",""
"80","0.120240","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Add Device to Resolving List)","2021-06-08 15:45:31,964420",""
"81","0.120525","host","controller","HCI_CMD","5","","","","","","Sent LE Set Address Resolution Enable","2021-06-08 15:45:31,964705",""
"82","0.122519","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Address Resolution Enable)","2021-06-08 15:45:31,966699",""
"83","0.122853","host","controller","HCI_CMD","5","","","","","","Sent LE Set Address Resolution Enable","2021-06-08 15:45:31,967033",""
"84","0.124349","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Address Resolution Enable)","2021-06-08 15:45:31,968529",""
"85","0.124624","host","controller","HCI_CMD","43","","","","","","Sent LE Add Device to Resolving List","2021-06-08 15:45:31,968804",""
"86","0.126979","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Add Device to Resolving List)","2021-06-08 15:45:31,971159",""
"87","0.127304","host","controller","HCI_CMD","5","","","","","","Sent LE Set Address Resolution Enable","2021-06-08 15:45:31,971484",""
"88","0.128271","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (LE Set Address Resolution Enable)","2021-06-08 15:45:31,972451",""
"89","0.300033","host","controller","HCI_CMD","245","","","","","","Sent Write Extended Inquiry Response","2021-06-08 15:45:32,144213",""
"90","0.303095","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Extended Inquiry Response)","2021-06-08 15:45:32,147275",""
"91","0.402119","host","controller","HCI_CMD","6","","","","","","Sent Write Voice Setting","2021-06-08 15:45:32,246299",""
"92","0.404613","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Voice Setting)","2021-06-08 15:45:32,248793",""
"93","0.404974","host","controller","HCI_CMD","245","","","","","","Sent Write Extended Inquiry Response","2021-06-08 15:45:32,249154",""
"94","0.407286","controller","host","HCI_EVT","7","","","","","","Rcvd Command Complete (Write Extended Inquiry Response)","2021-06-08 15:45:32,251466",""
