"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000000","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:21,468875235",""
"2","0.001256425","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:21,470131660",""
"3","184.423399934","52:a8:2d:bb:16:27","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-25 15:58:25,892275169",""
"4","0.100401626","AVMAudio_d1:c5:56","Broadcast","HomePlug AV","60","","","","","","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)","2021-05-25 15:55:21,569276861",""
"5","0.100401824","AVMAudio_d1:c5:56","Broadcast","0x8912","60","","","","","","Ethernet II","2021-05-25 15:55:21,569277059",""
"6","0.304440457","AVMAudio_d1:c5:56","Broadcast","HomePlug AV","60","","","","","","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)","2021-05-25 15:55:21,773315692",""
"7","0.304440757","AVMAudio_d1:c5:56","Broadcast","0x8912","60","","","","","","Ethernet II","2021-05-25 15:55:21,773315992",""
"8","1.026600321","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:22,495475556",""
"9","1.027784910","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:22,496660145",""
"10","1.030026392","AVMAudio_d1:c5:56","Broadcast","HomePlug AV","60","","","","","","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)","2021-05-25 15:55:22,498901627",""
"11","1.030026723","AVMAudio_d1:c5:56","Broadcast","0x8912","60","","","","","","Ethernet II","2021-05-25 15:55:22,498901958",""
"12","2.047860852","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:23,516736087",""
"13","2.049341371","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:23,518216606",""
"14","2.150259848","AVMAudio_d1:c5:56","Broadcast","HomePlug AV","60","","","","","","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)","2021-05-25 15:55:23,619135083",""
"15","2.150260129","AVMAudio_d1:c5:56","Broadcast","0x8912","60","","","","","","Ethernet II","2021-05-25 15:55:23,619135364",""
"16","2.249898995","AVMAudio_d1:c5:56","Broadcast","HomePlug AV","60","","","","","","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)","2021-05-25 15:55:23,718774230",""
"17","2.249899276","AVMAudio_d1:c5:56","Broadcast","0x8912","60","","","","","","Ethernet II","2021-05-25 15:55:23,718774511",""
"18","3.074040073","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:24,542915308",""
"19","3.075463531","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:24,544338766",""
"20","3.993476324","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:25,462351559",""
"21","3.994861907","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:25,463737142",""
"22","4.092222646","AVMAudio_d1:c5:56","Broadcast","HomePlug AV","60","","","","","","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)","2021-05-25 15:55:25,561097881",""
"23","4.095205763","AVMAudio_d1:c5:56","Broadcast","0x8912","60","","","","","","Ethernet II","2021-05-25 15:55:25,564080998",""
"24","4.298023659","AVMAudio_d1:c5:56","Broadcast","HomePlug AV","60","","","","","","Qualcomm Atheros, GET_SW.REQ (Get Device/SW Version Request)","2021-05-25 15:55:25,766898894",""
"25","4.298023975","AVMAudio_d1:c5:56","Broadcast","0x8912","60","","","","","","Ethernet II","2021-05-25 15:55:25,766899210",""
"26","5.018885860","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:26,487761095",""
"27","5.021828352","192.168.143.71","192.168.143.255","UDP","305","","","","","","54915  >  54915 Len=263","2021-05-25 15:55:26,490703587",""
"28","184.454882934","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:58:25,923758169",""
"29","184.455276034","3e:e9:e2:25:ba:b5","Broadcast","LE LL","41","","0","","","","ADV_NONCONN_IND","2021-05-25 15:58:25,924151269",""
"30","184.476601434","5c:d1:3a:47:28:25","Broadcast","LE LL","43","","0","","","","ADV_IND","2021-05-25 15:58:25,945476669",""
"31","184.483480134","1f:6a:d0:0c:1f:31","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-25 15:58:25,952355369",""
"32","184.496133634","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:58:25,965008869",""
"33","184.496627734","66:d5:88:4b:2b:10","Espressi_60:ef:3a","LE LL","31","","0","","","","SCAN_REQ","2021-05-25 15:58:25,965502969",""
"34","184.496952734","Espressi_60:ef:3a","Broadcast","LE LL","55","","0","","","","SCAN_RSP","2021-05-25 15:58:25,965827969",""
"35","184.530277334","52:a8:2d:bb:16:27","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-25 15:58:25,999152569",""
"36","184.542384034","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:58:26,011259269",""
"37","184.577956834","47:b4:20:d1:02:78","Broadcast","LE LL","43","","0","","","","ADV_IND","2021-05-25 15:58:26,046832069",""
"38","184.587384634","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:58:26,056259869",""
"39","184.593618934","6a:68:6b:36:29:52","Broadcast","LE LL","25","","0","","","","SCAN_RSP","2021-05-25 15:58:26,062494169",""
"40","184.634030334","52:a8:2d:bb:16:27","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-25 15:58:26,102905569",""
"41","184.672797134","3e:e9:e2:25:ba:b5","Broadcast","LE LL","41","","0","","","","ADV_NONCONN_IND","2021-05-25 15:58:26,141672369",""
"42","184.678635834","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:58:26,147511069",""
"43","184.679129134","66:d5:88:4b:2b:10","Espressi_60:ef:3a","LE LL","31","","0","","","","SCAN_REQ","2021-05-25 15:58:26,148004369",""
"44","184.679453634","Espressi_60:ef:3a","Broadcast","LE LL","55","","0","","","","SCAN_RSP","2021-05-25 15:58:26,148328869",""
"45","184.705351834","3e:e9:ea:25:ba:b5","Broadcast","LE LL","41","","0","","","","ADV_NONCONN_IND","2021-05-25 15:58:26,174227069",""
"46","184.726136134","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-25 15:58:26,195011369",""
