"No.","Time","Source","Destination","Protocol","Length","Request in Frame","RF Channel","Opcode","Value","Handle","Info","Time.1","UUID"
"1","0.000000000","35.209.28.70","192.168.143.64","TLSv1.2","105","","","","","","Application Data","2021-05-26 13:47:26,266686986",""
"2","0.000055064","192.168.143.64","35.209.28.70","TCP","66","","","","","","35186  >  443 [ACK] Seq=1 Ack=40 Win=501 Len=0 TSval=2787163797 TSecr=1204489589","2021-05-26 13:47:26,266742050",""
"3","0.894176241","157.245.213.92","192.168.143.64","TLSv1.2","100","","","","","","Application Data","2021-05-26 13:47:27,160863227",""
"4","0.894439914","192.168.143.64","157.245.213.92","TLSv1.2","101","","","","","","Application Data","2021-05-26 13:47:27,161126900",""
"5","231.180733017","6f:ef:a4:5e:41:f2","Broadcast","LE LL","43","","0","","","","ADV_IND","2021-05-26 13:51:17,447420003",""
"6","1.013924684","157.245.213.92","192.168.143.64","TCP","68","","","","","","443  >  44038 [ACK] Seq=32 Ack=36 Win=501 Len=0 TSval=2193274209 TSecr=3362600116","2021-05-26 13:47:27,280611670",""
"7","231.190894417","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-26 13:51:17,457581403",""
"8","231.200777817","78:81:0e:8e:79:8e","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-26 13:51:17,467464803",""
"9","231.210488217","0f:c2:96:a4:2a:0a","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-26 13:51:17,477175203",""
"10","231.230895017","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-26 13:51:17,497582003",""
"11","231.279645417","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-26 13:51:17,546332403",""
"12","231.310156217","78:81:0e:8e:79:8e","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-26 13:51:17,576843203",""
"13","231.324646317","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-26 13:51:17,591333303",""
"14","2.768386207","162.254.197.54","192.168.143.64","TLSv1.2","241","","","","","","Application Data","2021-05-26 13:47:29,035073193",""
"15","2.768441586","192.168.143.64","162.254.197.54","TCP","54","","","","","","43065  >  27028 [ACK] Seq=1 Ack=188 Win=32160 Len=0","2021-05-26 13:47:29,035128572",""
"16","231.367326217","4f:cb:ab:20:9b:69","Broadcast","LE LL","43","","0","","","","ADV_IND","2021-05-26 13:51:17,634013203",""
"17","231.369646817","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-26 13:51:17,636333803",""
"18","231.412659517","78:81:0e:8e:79:8e","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-26 13:51:17,679346503",""
"19","231.415897117","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-26 13:51:17,682584103",""
"20","231.450744617","6f:ef:a4:5e:41:f2","Broadcast","LE LL","43","","0","","","","ADV_IND","2021-05-26 13:51:17,717431603",""
"21","231.459647417","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-26 13:51:17,726334403",""
"22","231.485498717","0b:c2:96:a4:2a:1a","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-26 13:51:17,752185703",""
"23","231.509647717","Espressi_60:ef:3a","Broadcast","LE LL","52","","0","","","","ADV_IND","2021-05-26 13:51:17,776334703",""
"24","231.517663017","78:81:0e:8e:79:8e","Broadcast","LE LL","56","","0","","","","ADV_NONCONN_IND","2021-05-26 13:51:17,784350003",""
